State,Number BAC=0,Percent BAC=0,Number BAC=0.01-0.09,Percent BAC = 0.01-0.09,Number BAC = 0.10+,Percent BAC = 0.10+,Number Killed in Alcohol Related Crashes,Percent Killed Alcohol Related Crashes,Total Killed in All Accidents,Percent,Year,"Population, US Census",Direct Ship,Beer Per Capita,Wine Per Capita,Spirits Per Capita
ME,124,64,11,6,58,30,70,36,194,100,2004,"1,313,688",0,1.24,0.41,0.76
ME,132,64,6,3,69,33,75,36,207,100,2003,"1,306,513",0,1.24,0.39,0.73
ME,165,76,4,2,47,22,51,24,216,100,2002,"1,295,960",0,1.23,0.39,0.69
ME,207,79,5,2,49,19,55,21,262,100,2001,"1,285,692",0,1.2,0.37,0.69
ME,118,70,13,7,38,22,51,30,169,100,2000,"1,277,072",0,1.17,0.39,0.73
MI,708,63,58,5,363,32,421,37,"1,129",100,2005,"10,051,137",0,1.14,0.28,0.75
MI,729,63,64,6,367,32,430,37,"1,159",100,2004,"10,055,315",0,1.15,0.28,0.72
MI,802,63,86,7,395,31,481,37,"1,283",100,2003,"10,041,152",0,1.17,0.26,0.7
MI,787,62,68,5,422,33,490,38,"1,277",100,2002,"10,015,710",0,1.16,0.23,0.68
MI,"1,495",77,70,4,367,19,437,23,"1,932",100,2001,"9,991,120",0,1.19,0.24,0.68
MI,876,63,109,8,397,29,506,37,"1,382",100,2000,"9,952,450",0,1.19,0.24,0.69
MN,358,64,26,5,176,31,201,36,559,100,2005,"5,119,598",0,1.18,0.32,0.96
MN,383,68,14,2,170,30,184,32,567,100,2004,"5,087,713",0,1.23,0.31,0.93
MN,390,59,36,5,231,35,267,41,657,100,2003,"5,053,572",0,1.21,0.29,0.9
MN,402,61,46,7,209,32,255,39,657,100,2002,"5,018,935",0,1.25,0.28,0.87
MN,600,76,32,4,157,20,189,24,789,100,2001,"4,982,796",0,1.25,0.26,0.87
MN,370,59,48,8,207,33,255,41,625,100,2000,"4,933,692",0,1.24,0.26,0.87
MO,742,59,81,6,434,35,515,41,"1,257",100,2005,"5,790,300",0,1.3,0.27,0.72
MO,681,60,62,5,388,34,449,40,"1,130",100,2004,"5,747,741",0,1.32,0.26,0.71
MO,728,59,80,6,425,34,504,41,"1,232",100,2003,"5,709,403",0,1.33,0.26,0.69
MO,683,57,68,6,457,38,525,43,"1,208",100,2002,"5,674,825",0,1.47,0.25,0.67
MO,982,68,83,6,377,26,460,32,"1,442",100,2001,"5,641,142",0,1.34,0.23,0.67
MO,646,56,124,11,387,33,511,44,"1,157",100,2000,"5,607,285",0,1.35,0.23,0.67
MS,560,60,40,4,331,36,371,40,931,100,2005,"2,905,943",0,1.4,0.12,0.65
MS,559,62,23,3,317,35,341,38,900,100,2004,"2,889,010",0,1.39,0.12,0.63
MS,551,63,32,4,288,33,320,37,871,100,2003,"2,868,312",0,1.4,0.12,0.62
MS,553,62,41,5,292,33,332,38,885,100,2002,"2,858,681",0,1.4,0.12,0.61
MS,759,75,29,3,222,22,251,25,"1,010",100,2001,"2,852,994",0,1.39,0.11,0.6
MS,570,60,89,9,289,30,379,40,949,100,2000,"2,848,353",0,1.44,0.09,0.6
MT,127,51,12,5,112,45,124,49,251,100,2005,"940,102",0,1.53,0.35,0.78
MT,124,54,6,3,100,43,106,46,229,100,2004,"930,009",0,1.54,0.34,0.74
MT,134,51,20,8,108,41,128,49,262,100,2003,"919,630",0,1.55,0.33,0.72
MT,143,53,21,8,106,39,127,47,270,100,2002,"911,667",0,1.61,0.33,0.7
MT,174,65,10,4,83,31,93,35,267,100,2001,"906,961",0,1.57,0.3,0.68
MT,127,54,18,8,92,39,110,46,237,100,2000,"903,773",0,1.55,0.29,0.68
